precinctid,municipality_district,Contest Name,contest_base,contest_party,Candidate Name,Votes
02011-1,Bensalem Twp. Lower East 1,BENSALEM TOWNSHIP LOWER EAST 1 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER EAST 1 COMMITTEEPERSON,Dem,Stephanie A. Gonzalez Ferrandez,203
02011-1,Bensalem Twp. Lower East 1,BENSALEM TOWNSHIP LOWER EAST 1 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER EAST 1 COMMITTEEPERSON,Dem,Write-in,1
02011-1,Bensalem Twp. Lower East 1,BENSALEM TOWNSHIP LOWER EAST 1 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 1 COMMITTEEWOMAN,Rep,Mary Ellen Cook,111
02011-1,Bensalem Twp. Lower East 1,BENSALEM TOWNSHIP LOWER EAST 1 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 1 COMMITTEEWOMAN,Rep,Write-in,7
02012-1,Bensalem Twp. Lower East 2,BENSALEM TOWNSHIP LOWER EAST 2 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 2 COMMITTEEMAN,Rep,Clifford Greer,74
02012-1,Bensalem Twp. Lower East 2,BENSALEM TOWNSHIP LOWER EAST 2 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 2 COMMITTEEMAN,Rep,Write-in,8
02012-1,Bensalem Twp. Lower East 2,BENSALEM TOWNSHIP LOWER EAST 2 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER EAST 2 COMMITTEEPERSON,Dem,Write-in,31
02012-1,Bensalem Twp. Lower East 2,BENSALEM TOWNSHIP LOWER EAST 2 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 2 COMMITTEEWOMAN,Rep,Lorraine Greer,91
02012-1,Bensalem Twp. Lower East 2,BENSALEM TOWNSHIP LOWER EAST 2 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 2 COMMITTEEWOMAN,Rep,Write-in,5
02013-1,Bensalem Twp. Lower East 3,BENSALEM TOWNSHIP LOWER EAST 3 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 3 COMMITTEEMAN,Rep,Binu Scariah,87
02013-1,Bensalem Twp. Lower East 3,BENSALEM TOWNSHIP LOWER EAST 3 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 3 COMMITTEEMAN,Rep,Write-in,2
02013-1,Bensalem Twp. Lower East 3,BENSALEM TOWNSHIP LOWER EAST 3 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER EAST 3 COMMITTEEPERSON,Dem,Write-in,9
02013-1,Bensalem Twp. Lower East 3,BENSALEM TOWNSHIP LOWER EAST 3 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 3 COMMITTEEWOMAN,Rep,Nicole Austin,101
02013-1,Bensalem Twp. Lower East 3,BENSALEM TOWNSHIP LOWER EAST 3 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 3 COMMITTEEWOMAN,Rep,Write-in,1
02014-1,Bensalem Twp. Lower East 4,BENSALEM TOWNSHIP LOWER EAST 4 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 4 COMMITTEEMAN,Rep,Write-in,7
02014-1,Bensalem Twp. Lower East 4,BENSALEM TOWNSHIP LOWER EAST 4 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER EAST 4 COMMITTEEPERSON,Dem,Write-in,20
02014-1,Bensalem Twp. Lower East 4,BENSALEM TOWNSHIP LOWER EAST 4 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 4 COMMITTEEWOMAN,Rep,Genevieve McCunney,40
02014-1,Bensalem Twp. Lower East 4,BENSALEM TOWNSHIP LOWER EAST 4 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 4 COMMITTEEWOMAN,Rep,Write-in,3
02015-1,Bensalem Twp. Lower East 5,BENSALEM TOWNSHIP LOWER EAST 5 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 5 COMMITTEEMAN,Rep,Joseph C. Knowles,213
02015-1,Bensalem Twp. Lower East 5,BENSALEM TOWNSHIP LOWER EAST 5 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 5 COMMITTEEMAN,Rep,Write-in,2
02015-1,Bensalem Twp. Lower East 5,BENSALEM TOWNSHIP LOWER EAST 5 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER EAST 5 COMMITTEEPERSON,Dem,Bhasker Patel,129
02015-1,Bensalem Twp. Lower East 5,BENSALEM TOWNSHIP LOWER EAST 5 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER EAST 5 COMMITTEEPERSON,Dem,"Ed Tokmajian, Sr.",217
02015-1,Bensalem Twp. Lower East 5,BENSALEM TOWNSHIP LOWER EAST 5 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER EAST 5 COMMITTEEPERSON,Dem,Write-in,1
02015-1,Bensalem Twp. Lower East 5,BENSALEM TOWNSHIP LOWER EAST 5 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 5 COMMITTEEWOMAN,Rep,Cathy Curran,221
02015-1,Bensalem Twp. Lower East 5,BENSALEM TOWNSHIP LOWER EAST 5 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 5 COMMITTEEWOMAN,Rep,Write-in,5
02016-1,Bensalem Twp. Lower East 6,BENSALEM TOWNSHIP LOWER EAST 6 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 6 COMMITTEEMAN,Rep,John Leggieri,88
02016-1,Bensalem Twp. Lower East 6,BENSALEM TOWNSHIP LOWER EAST 6 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 6 COMMITTEEMAN,Rep,Write-in,7
02016-1,Bensalem Twp. Lower East 6,BENSALEM TOWNSHIP LOWER EAST 6 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER EAST 6 COMMITTEEPERSON,Dem,Write-in,14
02016-1,Bensalem Twp. Lower East 6,BENSALEM TOWNSHIP LOWER EAST 6 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 6 COMMITTEEWOMAN,Rep,Janet M. Salyerds,98
02016-1,Bensalem Twp. Lower East 6,BENSALEM TOWNSHIP LOWER EAST 6 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 6 COMMITTEEWOMAN,Rep,Write-in,10
02017-1,Bensalem Twp. Lower East 7,BENSALEM TOWNSHIP LOWER EAST 7 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 7 COMMITTEEMAN,Rep,Kevin Hughes,94
02017-1,Bensalem Twp. Lower East 7,BENSALEM TOWNSHIP LOWER EAST 7 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 7 COMMITTEEMAN,Rep,Write-in,5
02017-1,Bensalem Twp. Lower East 7,BENSALEM TOWNSHIP LOWER EAST 7 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER EAST 7 COMMITTEEPERSON,Dem,"Joseph J. Wenzel, Jr.",129
02017-1,Bensalem Twp. Lower East 7,BENSALEM TOWNSHIP LOWER EAST 7 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER EAST 7 COMMITTEEPERSON,Dem,Stephanie Wenzel,147
02017-1,Bensalem Twp. Lower East 7,BENSALEM TOWNSHIP LOWER EAST 7 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER EAST 7 COMMITTEEPERSON,Dem,Write-in,2
02017-1,Bensalem Twp. Lower East 7,BENSALEM TOWNSHIP LOWER EAST 7 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 7 COMMITTEEWOMAN,Rep,Jean Hughes,104
02017-1,Bensalem Twp. Lower East 7,BENSALEM TOWNSHIP LOWER EAST 7 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 7 COMMITTEEWOMAN,Rep,Write-in,7
02018-1,Bensalem Twp. Lower East 8,BENSALEM TOWNSHIP LOWER EAST 8 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 8 COMMITTEEMAN,Rep,John Polidoro,65
02018-1,Bensalem Twp. Lower East 8,BENSALEM TOWNSHIP LOWER EAST 8 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 8 COMMITTEEMAN,Rep,Write-in,5
02018-1,Bensalem Twp. Lower East 8,BENSALEM TOWNSHIP LOWER EAST 8 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER EAST 8 COMMITTEEPERSON,Dem,Write-in,7
02018-1,Bensalem Twp. Lower East 8,BENSALEM TOWNSHIP LOWER EAST 8 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 8 COMMITTEEWOMAN,Rep,Elaine Baratta,72
02018-1,Bensalem Twp. Lower East 8,BENSALEM TOWNSHIP LOWER EAST 8 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER EAST 8 COMMITTEEWOMAN,Rep,Write-in,4
02021-1,Bensalem Twp. Lower Middle 1,BENSALEM TOWNSHIP LOWER MIDDLE 1 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 1 COMMITTEEMAN,Rep,Mike Gallagher,114
02021-1,Bensalem Twp. Lower Middle 1,BENSALEM TOWNSHIP LOWER MIDDLE 1 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 1 COMMITTEEMAN,Rep,Write-in,1
02021-1,Bensalem Twp. Lower Middle 1,BENSALEM TOWNSHIP LOWER MIDDLE 1 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER MIDDLE 1 COMMITTEEPERSON,Dem,Write-in,27
02021-1,Bensalem Twp. Lower Middle 1,BENSALEM TOWNSHIP LOWER MIDDLE 1 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 1 COMMITTEEWOMAN,Rep,Lisa Diasio,125
02021-1,Bensalem Twp. Lower Middle 1,BENSALEM TOWNSHIP LOWER MIDDLE 1 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 1 COMMITTEEWOMAN,Rep,Write-in,1
02022-1,Bensalem Twp. Lower Middle 2,BENSALEM TOWNSHIP LOWER MIDDLE 2 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 2 COMMITTEEMAN,Rep,Frank Celentano,107
02022-1,Bensalem Twp. Lower Middle 2,BENSALEM TOWNSHIP LOWER MIDDLE 2 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 2 COMMITTEEMAN,Rep,Walt Angle,20
02022-1,Bensalem Twp. Lower Middle 2,BENSALEM TOWNSHIP LOWER MIDDLE 2 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 2 COMMITTEEMAN,Rep,Write-in,0
02022-1,Bensalem Twp. Lower Middle 2,BENSALEM TOWNSHIP LOWER MIDDLE 2 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER MIDDLE 2 COMMITTEEPERSON,Dem,Joe Kraher,94
02022-1,Bensalem Twp. Lower Middle 2,BENSALEM TOWNSHIP LOWER MIDDLE 2 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER MIDDLE 2 COMMITTEEPERSON,Dem,Write-in,0
02022-1,Bensalem Twp. Lower Middle 2,BENSALEM TOWNSHIP LOWER MIDDLE 2 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 2 COMMITTEEWOMAN,Rep,Joanne Fields,121
02022-1,Bensalem Twp. Lower Middle 2,BENSALEM TOWNSHIP LOWER MIDDLE 2 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 2 COMMITTEEWOMAN,Rep,Write-in,0
02023-1,Bensalem Twp. Lower Middle 3,BENSALEM TOWNSHIP LOWER MIDDLE 3 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 3 COMMITTEEMAN,Rep,John W. Mathieu,163
02023-1,Bensalem Twp. Lower Middle 3,BENSALEM TOWNSHIP LOWER MIDDLE 3 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 3 COMMITTEEMAN,Rep,Write-in,8
02023-1,Bensalem Twp. Lower Middle 3,BENSALEM TOWNSHIP LOWER MIDDLE 3 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER MIDDLE 3 COMMITTEEPERSON,Dem,Write-in,19
02023-1,Bensalem Twp. Lower Middle 3,BENSALEM TOWNSHIP LOWER MIDDLE 3 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 3 COMMITTEEWOMAN,Rep,E. Holly Fitzgerald Visone,178
02023-1,Bensalem Twp. Lower Middle 3,BENSALEM TOWNSHIP LOWER MIDDLE 3 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 3 COMMITTEEWOMAN,Rep,Write-in,10
02024-1,Bensalem Twp. Lower Middle 4,BENSALEM TOWNSHIP LOWER MIDDLE 4 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 4 COMMITTEEMAN,Rep,Write-in,5
02024-1,Bensalem Twp. Lower Middle 4,BENSALEM TOWNSHIP LOWER MIDDLE 4 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER MIDDLE 4 COMMITTEEPERSON,Dem,Brielle Ballantine,72
02024-1,Bensalem Twp. Lower Middle 4,BENSALEM TOWNSHIP LOWER MIDDLE 4 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER MIDDLE 4 COMMITTEEPERSON,Dem,Write-in,0
02024-1,Bensalem Twp. Lower Middle 4,BENSALEM TOWNSHIP LOWER MIDDLE 4 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 4 COMMITTEEWOMAN,Rep,Write-in,6
02025-1,Bensalem Twp. Lower Middle 5,BENSALEM TOWNSHIP LOWER MIDDLE 5 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 5 COMMITTEEMAN,Rep,Write-in,5
02025-1,Bensalem Twp. Lower Middle 5,BENSALEM TOWNSHIP LOWER MIDDLE 5 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER MIDDLE 5 COMMITTEEPERSON,Dem,Write-in,9
02025-1,Bensalem Twp. Lower Middle 5,BENSALEM TOWNSHIP LOWER MIDDLE 5 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER MIDDLE 5 COMMITTEEWOMAN,Rep,Write-in,3
02030-1,Bensalem Twp. Lower West,BENSALEM TOWNSHIP LOWER WEST COMMITTEEMAN (Rep),BENSALEM TOWNSHIP LOWER WEST COMMITTEEMAN,Rep,Write-in,2
02030-1,Bensalem Twp. Lower West,BENSALEM TOWNSHIP LOWER WEST COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP LOWER WEST COMMITTEEPERSON,Dem,Write-in,5
02030-1,Bensalem Twp. Lower West,BENSALEM TOWNSHIP LOWER WEST COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER WEST COMMITTEEWOMAN,Rep,Hilde Litz,65
02030-1,Bensalem Twp. Lower West,BENSALEM TOWNSHIP LOWER WEST COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP LOWER WEST COMMITTEEWOMAN,Rep,Write-in,2
02051-1,Bensalem Twp. Upper 1,BENSALEM TOWNSHIP UPPER 1 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 1 COMMITTEEMAN,Rep,Mike Brill,204
02051-1,Bensalem Twp. Upper 1,BENSALEM TOWNSHIP UPPER 1 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 1 COMMITTEEMAN,Rep,Write-in,0
02051-1,Bensalem Twp. Upper 1,BENSALEM TOWNSHIP UPPER 1 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP UPPER 1 COMMITTEEPERSON,Dem,Write-in,23
02051-1,Bensalem Twp. Upper 1,BENSALEM TOWNSHIP UPPER 1 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP UPPER 1 COMMITTEEWOMAN,Rep,Mary Ann Groninger,210
02051-1,Bensalem Twp. Upper 1,BENSALEM TOWNSHIP UPPER 1 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP UPPER 1 COMMITTEEWOMAN,Rep,Write-in,1
02060-1,Bensalem Twp. Upper 10,BENSALEM TOWNSHIP UPPER 10 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 10 COMMITTEEMAN,Rep,Will Walker,140
02060-1,Bensalem Twp. Upper 10,BENSALEM TOWNSHIP UPPER 10 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 10 COMMITTEEMAN,Rep,Write-in,3
02060-1,Bensalem Twp. Upper 10,BENSALEM TOWNSHIP UPPER 10 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP UPPER 10 COMMITTEEPERSON,Dem,Write-in,14
02060-1,Bensalem Twp. Upper 10,BENSALEM TOWNSHIP UPPER 10 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP UPPER 10 COMMITTEEWOMAN,Rep,Rochelle Porto,146
02060-1,Bensalem Twp. Upper 10,BENSALEM TOWNSHIP UPPER 10 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP UPPER 10 COMMITTEEWOMAN,Rep,Write-in,0
02061-1,Bensalem Twp. Upper 11,BENSALEM TOWNSHIP UPPER 11 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 11 COMMITTEEMAN,Rep,Jay Breton Lynn,77
02061-1,Bensalem Twp. Upper 11,BENSALEM TOWNSHIP UPPER 11 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 11 COMMITTEEMAN,Rep,Tony Cascerceri,172
02061-1,Bensalem Twp. Upper 11,BENSALEM TOWNSHIP UPPER 11 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 11 COMMITTEEMAN,Rep,Write-in,1
02061-1,Bensalem Twp. Upper 11,BENSALEM TOWNSHIP UPPER 11 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP UPPER 11 COMMITTEEPERSON,Dem,Howie Hayes,255
02061-1,Bensalem Twp. Upper 11,BENSALEM TOWNSHIP UPPER 11 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP UPPER 11 COMMITTEEPERSON,Dem,Write-in,4
02061-1,Bensalem Twp. Upper 11,BENSALEM TOWNSHIP UPPER 11 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP UPPER 11 COMMITTEEWOMAN,Rep,Christine Heitman,108
02061-1,Bensalem Twp. Upper 11,BENSALEM TOWNSHIP UPPER 11 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP UPPER 11 COMMITTEEWOMAN,Rep,Colleen Johnson,136
02061-1,Bensalem Twp. Upper 11,BENSALEM TOWNSHIP UPPER 11 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP UPPER 11 COMMITTEEWOMAN,Rep,Write-in,0
02062-1,Bensalem Twp. Upper 12,BENSALEM TOWNSHIP UPPER 12 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 12 COMMITTEEMAN,Rep,John Wolaniuk,62
02062-1,Bensalem Twp. Upper 12,BENSALEM TOWNSHIP UPPER 12 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 12 COMMITTEEMAN,Rep,Write-in,5
02062-1,Bensalem Twp. Upper 12,BENSALEM TOWNSHIP UPPER 12 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP UPPER 12 COMMITTEEPERSON,Dem,Bryan Allen,115
02062-1,Bensalem Twp. Upper 12,BENSALEM TOWNSHIP UPPER 12 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP UPPER 12 COMMITTEEPERSON,Dem,Stephanie Klein Sloane,101
02062-1,Bensalem Twp. Upper 12,BENSALEM TOWNSHIP UPPER 12 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP UPPER 12 COMMITTEEPERSON,Dem,Write-in,2
02062-1,Bensalem Twp. Upper 12,BENSALEM TOWNSHIP UPPER 12 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP UPPER 12 COMMITTEEWOMAN,Rep,Diane Bruno,70
02062-1,Bensalem Twp. Upper 12,BENSALEM TOWNSHIP UPPER 12 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP UPPER 12 COMMITTEEWOMAN,Rep,Write-in,8
02052-1,Bensalem Twp. Upper 2,BENSALEM TOWNSHIP UPPER 2 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 2 COMMITTEEMAN,Rep,Joseph K. Barbee,66
02052-1,Bensalem Twp. Upper 2,BENSALEM TOWNSHIP UPPER 2 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 2 COMMITTEEMAN,Rep,Write-in,0
02052-1,Bensalem Twp. Upper 2,BENSALEM TOWNSHIP UPPER 2 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP UPPER 2 COMMITTEEPERSON,Dem,Write-in,10
02052-1,Bensalem Twp. Upper 2,BENSALEM TOWNSHIP UPPER 2 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP UPPER 2 COMMITTEEWOMAN,Rep,Mary A. Barbee,71
02052-1,Bensalem Twp. Upper 2,BENSALEM TOWNSHIP UPPER 2 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP UPPER 2 COMMITTEEWOMAN,Rep,Write-in,1
02053-1,Bensalem Twp. Upper 3,BENSALEM TOWNSHIP UPPER 3 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 3 COMMITTEEMAN,Rep,Robert Boysen,43
02053-1,Bensalem Twp. Upper 3,BENSALEM TOWNSHIP UPPER 3 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 3 COMMITTEEMAN,Rep,Write-in,2
02053-1,Bensalem Twp. Upper 3,BENSALEM TOWNSHIP UPPER 3 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP UPPER 3 COMMITTEEPERSON,Dem,Joyce Hadley,205
02053-1,Bensalem Twp. Upper 3,BENSALEM TOWNSHIP UPPER 3 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP UPPER 3 COMMITTEEPERSON,Dem,Karen Downer,166
02053-1,Bensalem Twp. Upper 3,BENSALEM TOWNSHIP UPPER 3 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP UPPER 3 COMMITTEEPERSON,Dem,Write-in,0
02053-1,Bensalem Twp. Upper 3,BENSALEM TOWNSHIP UPPER 3 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP UPPER 3 COMMITTEEWOMAN,Rep,Write-in,6
02054-1,Bensalem Twp. Upper 4,BENSALEM TOWNSHIP UPPER 4 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 4 COMMITTEEMAN,Rep,Francis Ott,54
02054-1,Bensalem Twp. Upper 4,BENSALEM TOWNSHIP UPPER 4 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 4 COMMITTEEMAN,Rep,Write-in,4
02054-1,Bensalem Twp. Upper 4,BENSALEM TOWNSHIP UPPER 4 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP UPPER 4 COMMITTEEPERSON,Dem,Jimmy Lamb,128
02054-1,Bensalem Twp. Upper 4,BENSALEM TOWNSHIP UPPER 4 COMMITTEEPERSON (Dem),BENSALEM TOWNSHIP UPPER 4 COMMITTEEPERSON,Dem,Write-in,1
02054-1,Bensalem Twp. Upper 4,BENSALEM TOWNSHIP UPPER 4 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP UPPER 4 COMMITTEEWOMAN,Rep,Debora McBreen,60
02054-1,Bensalem Twp. Upper 4,BENSALEM TOWNSHIP UPPER 4 COMMITTEEWOMAN (Rep),BENSALEM TOWNSHIP UPPER 4 COMMITTEEWOMAN,Rep,Write-in,4
02055-1,Bensalem Twp. Upper 5,BENSALEM TOWNSHIP UPPER 5 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 5 COMMITTEEMAN,Rep,Marc A. Mari,77
02055-1,Bensalem Twp. Upper 5,BENSALEM TOWNSHIP UPPER 5 COMMITTEEMAN (Rep),BENSALEM TOWNSHIP UPPER 5 COMMITTEEMAN,Rep,Write-in,1
